ID,Nome,Endereço,Atendimento,Telefone,Local no Google Maps,Reviews,Pontuação,Site,Categoria,,Latitude,Longitude,ID do local,,Imagem do local,Link dos Reviews
16,TANNO - TANNO´S BUFFET,"R. Ayrton Senna da Silva, 168 - Glebas Natalinas, Piracicaba - SP, 13421-155","quarta-feira:[08:00–18:00],quinta-feira:[08:00–18:00],sexta-feira:[08:00–18:00],sábado:[08:00–18:00],domingo:[08:00–18:00],segunda-feira:[08:00–18:00],terça-feira:[08:00–18:00]",1934242234,link,90,4.6,,"Local para eventos,Salão de festas,Buffet infantil,Buffet de casamento,Local para casamentos",,-227.424.488,-47.605.647.999.999.900,ChIJWxck_h8wxpQRh8mRxBLs8fU,,link,link
17,Chácara das Palmeiras,"Rua Colinas de Santa Izabel, 110 Cx.Postal1226 - Chácara das Palmeiras, Piracicaba - SP, 13400-001","quarta-feira:[Atendimento 24 horas],quinta-feira:[Atendimento 24 horas],sexta-feira:[Atendimento 24 horas],sábado:[Atendimento 24 horas],domingo:[Atendimento 24 horas],segunda-feira:[Atendimento 24 horas],terça-feira:[Atendimento 24 horas]",19999484244,link,37,4.9,link,Casa de campo,,-227.736.421,-475.371.885,ChIJQwkO4A8lxpQRanHyMvwooCc,,link,link
18,Chácara da Paz | Aniversários e casamentos,"Travessa dois vô Teixeira - Tupi, Piracicaba - SP, 13428-460","quarta-feira:[Atendimento 24 horas],quinta-feira:[Atendimento 24 horas],sexta-feira:[Atendimento 24 horas],sábado:[Atendimento 24 horas],domingo:[Atendimento 24 horas],segunda-feira:[Atendimento 24 horas],terça-feira:[Atendimento 24 horas]",19993010460,link,4,5,,"Salão de festas,Salão de eventos",,-227.747.545,-475.257.868,ChIJhbkzpR0nxpQRBY9unbw-MU0,,link,link
19,Chácara Romale,"Rua Américo Inocêncio de Oliveira - 73 - Bairro: - Chácaras de Recreio Helico, Santa Bárbara d'Oeste - SP","quarta-feira:[08:00–21:00],quinta-feira:[08:00–21:00],sexta-feira:[08:00–21:00],sábado:[08:00–21:00],domingo:[08:00–21:00],segunda-feira:[08:00–21:00],terça-feira:[08:00–21:00]",19994821857,link,44,4.6,,Local para eventos,,-227.606.121,-474.666.983,ChIJsXs9QKInxpQR4jnHhpUhbUg,,link,link
20,Chácara Deus é Bom - Tupi - Piracicaba,"Estr. 08, 122 - Santa Isabel, Piracicaba - SP, 13390-000",,19993175093,link,5,5,,"Local para eventos,Salão de festas,Pomar,Alojamento independente,Campo de futebol,Cozinha solidária,Piscina",,-22.775.930.799.999.900,-475.394.702,ChIJ8d6xpMMlxpQRM0eyNokD3mE,,link,link
21,Chácara FURLAN,"Estr. José Francisco Perez Gonzalez, 2345 - Pau d'Alhinho, Piracicaba - SP, 13403-295","quarta-feira:[08:30–20:30],quinta-feira:[08:30–20:30],sexta-feira:[08:30–20:30],sábado:[08:30–20:30],domingo:[08:30–20:30],segunda-feira:[08:30–20:30],terça-feira:[08:30–20:30]",19981479517,link,97,4.8,,"Local para eventos,Área de recreação,Salão de festas,Área para churrasco,Salão de eventos,Piscina,Local para casamentos",,-227.204.102,-477.105.305,ChIJkXTzkp02xpQRPTqexKPLNMY,,link,link
22,Chácara Chamonix,"Unnamed Road, Limeira - SP, 13451-900","quarta-feira:[Atendimento 24 horas],quinta-feira:[Atendimento 24 horas],sexta-feira:[Atendimento 24 horas],sábado:[Atendimento 24 horas],domingo:[Atendimento 24 horas],segunda-feira:[Atendimento 24 horas],terça-feira:[Atendimento 24 horas]",19971442250,link,82,4.5,link,Local para eventos,,-227.052.269,-474.536.521,ChIJYfOtNbUpxpQRfz7vqlkqzUM,,link,link
23,Chácara Show de Bola,"R. Manaus, 515 - Chácara Esperia, Piracicaba - SP, 13403-141",,,link,76,4.4,,Local para casamentos,,-227.255.498,-47.682.309.599.999.900,ChIJJfI2gksxxpQRhiW-ltehK-0,,link,link
24,Chácara Santa Izabel,"Estr. Eng. Alberto Morato Krahenbuhl - Piracicaba, SP, 13403-899","quarta-feira:[Atendimento 24 horas],quinta-feira:[Atendimento 24 horas],sexta-feira:[Atendimento 24 horas],sábado:[Atendimento 24 horas],domingo:[Atendimento 24 horas],segunda-feira:[Atendimento 24 horas],terça-feira:[Atendimento 24 horas]",19998182602,link,18,4.6,,Local para eventos,,-227.408.251,-477.075.147,ChIJv7AbPPg3xpQRLJNbtb9oaQk,,link,link
25,Chácara Gran Park MS Brasil,"Vale do Sol, Piracicaba - SP, 13406-500",,,link,211,4.5,,Parque,,-22.682.739.299.999.900,-477.200.023,ChIJf6l4Ov80xpQRda2KobUOGg4,,link,link
